campaign_id,fuzzer,subject,defect,time
10,Zest,Bcel,B0,0 days 00:42:48.816000
100,Zeugma-1PT,Rhino,R0,0 days 01:34:51.614000
100,Zeugma-1PT,Rhino,R1,0 days 00:44:59.002000
100,Zeugma-1PT,Rhino,R2,0 days 00:49:16.492000
100,Zeugma-1PT,Rhino,R3,0 days 00:00:13.996000
100,Zeugma-1PT,Rhino,R4,0 days 00:28:54.313000
1000,Zest,Bcel,B0,0 days 00:31:47.790000
1001,Zeugma-Linked,Bcel,B0,0 days 00:11:10.537000
1002,Zeugma,Bcel,B0,0 days 00:09:20.603000
1003,Zeugma-1PT,Bcel,B0,0 days 00:35:56.862000
1003,Zeugma-1PT,Bcel,B1,0 days 00:45:13.710000
1004,Zeugma-2PT,Bcel,B0,0 days 00:39:35.531000
1005,BeDivFuzz-Simple,Closure,C1,0 days 00:45:35.150000
1006,BeDivFuzz-Structure,Closure,C1,0 days 00:49:19.634000
1007,RLCheck,Closure,C1,0 days 00:10:29.308000
1008,Zest,Closure,C1,0 days 01:00:34.474000
1009,Zeugma-Linked,Closure,C0,0 days 01:49:12.848000
1009,Zeugma-Linked,Closure,C1,0 days 00:03:38.473000
101,Zeugma-2PT,Rhino,R1,0 days 00:10:43.983000
101,Zeugma-2PT,Rhino,R3,0 days 00:00:03.532000
101,Zeugma-2PT,Rhino,R4,0 days 00:58:58.145000
1010,Zeugma,Closure,C1,0 days 00:06:00.431000
1011,Zeugma-1PT,Closure,C0,0 days 02:25:21.887000
1011,Zeugma-1PT,Closure,C1,0 days 00:00:48.892000
1012,Zeugma-2PT,Closure,C1,0 days 00:03:37.222000
1025,Zeugma-Linked,Nashorn,N0,0 days 00:25:04.998000
1025,Zeugma-Linked,Nashorn,N2,0 days 00:09:31.040000
1026,Zeugma,Nashorn,N0,0 days 01:09:45.515000
1027,Zeugma-1PT,Nashorn,N0,0 days 00:52:37.481000
1029,BeDivFuzz-Simple,Rhino,R1,0 days 02:19:41.190000
1029,BeDivFuzz-Simple,Rhino,R3,0 days 00:00:01.456000
1030,BeDivFuzz-Structure,Rhino,R1,0 days 00:10:10.836000
1030,BeDivFuzz-Structure,Rhino,R3,0 days 00:00:00.572000
1031,RLCheck,Rhino,R3,0 days 00:00:08.396000
1032,Zest,Rhino,R1,0 days 00:24:24.388000
1032,Zest,Rhino,R3,0 days 00:00:15.368000
1033,Zeugma-Linked,Rhino,R3,0 days 00:00:09.672000
1033,Zeugma-Linked,Rhino,R4,0 days 00:22:44.171000
1034,Zeugma,Rhino,R0,0 days 01:17:08.549000
1034,Zeugma,Rhino,R1,0 days 00:01:23.236000
1034,Zeugma,Rhino,R2,0 days 01:17:00.977000
1034,Zeugma,Rhino,R3,0 days 00:00:02.376000
1034,Zeugma,Rhino,R4,0 days 00:42:01.210000
1035,Zeugma-1PT,Rhino,R0,0 days 02:04:05.084000
1035,Zeugma-1PT,Rhino,R2,0 days 02:25:08.637000
1035,Zeugma-1PT,Rhino,R3,0 days 00:00:08.664000
1036,Zeugma-2PT,Rhino,R0,0 days 02:16:20.235000
1036,Zeugma-2PT,Rhino,R1,0 days 00:10:44.240000
1036,Zeugma-2PT,Rhino,R2,0 days 02:09:19.797000
1036,Zeugma-2PT,Rhino,R3,0 days 00:00:00.664000
1036,Zeugma-2PT,Rhino,R4,0 days 00:26:18.050000
1053,BeDivFuzz-Simple,Bcel,B0,0 days 01:27:07.768000
1054,BeDivFuzz-Structure,Bcel,B0,0 days 02:16:09.634000
1055,Zest,Bcel,B0,0 days 00:59:10.726000
1056,Zeugma-Linked,Bcel,B0,0 days 00:11:35.225000
1057,Zeugma,Bcel,B0,0 days 00:21:08.139000
1058,Zeugma-1PT,Bcel,B0,0 days 00:12:33.061000
1059,Zeugma-2PT,Bcel,B0,0 days 00:07:52.978000
1059,Zeugma-2PT,Bcel,B1,0 days 00:09:11.507000
1060,BeDivFuzz-Simple,Closure,C1,0 days 00:02:22.583000
1061,BeDivFuzz-Structure,Closure,C1,0 days 00:55:23.536000
1062,RLCheck,Closure,C1,0 days 00:09:16.880000
1063,Zest,Closure,C1,0 days 00:07:38.699000
1064,Zeugma-Linked,Closure,C0,0 days 01:30:02.264000
1064,Zeugma-Linked,Closure,C1,0 days 00:00:05.100000
1065,Zeugma,Closure,C1,0 days 00:07:17.435000
1066,Zeugma-1PT,Closure,C1,0 days 00:14:12.585000
1067,Zeugma-2PT,Closure,C1,0 days 00:00:37.329000
1080,Zeugma-Linked,Nashorn,N0,0 days 00:20:14.372000
1081,Zeugma,Nashorn,N0,0 days 02:30:28.167000
1084,BeDivFuzz-Simple,Rhino,R3,0 days 00:00:00.188000
1085,BeDivFuzz-Structure,Rhino,R1,0 days 01:00:58.670000
1085,BeDivFuzz-Structure,Rhino,R3,0 days 00:00:01.672000
1086,RLCheck,Rhino,R3,0 days 00:00:08.200000
1087,Zest,Rhino,R1,0 days 02:23:55.355000
