subject,crossover_operator,inheritance_rate,hybrid
Rhino,Two Point,0.075963,true
Rhino,One Point,0.077003,true
Rhino,Linked,0.424558,false
Rhino,Two Point,0.226203,true
Rhino,One Point,0.299386,true
Rhino,Linked,0.959570,true
Rhino,Two Point,0.222763,true
Rhino,One Point,0.867925,true
Rhino,Linked,0.013390,true
Rhino,Two Point,0.887446,true
Rhino,One Point,0.012025,false
Rhino,Linked,0.012025,false
Rhino,Two Point,0.042488,false
Rhino,One Point,0.710591,true
Rhino,Linked,0.710591,true
Rhino,Two Point,0.111697,true
Rhino,One Point,0.544104,true
Rhino,Linked,0.566155,true
Rhino,Two Point,0.754349,true
Rhino,One Point,0.835073,false
Rhino,Linked,0.228253,false
Rhino,Two Point,0.049887,false
Rhino,One Point,0.097506,false
Rhino,Linked,0.365079,false
Rhino,Two Point,0.888623,false
Rhino,One Point,0.891018,false
Rhino,Linked,0.837126,false
Rhino,Two Point,0.527187,true
Rhino,One Point,0.938534,false
Rhino,Linked,0.940898,false
Rhino,Two Point,0.539837,true
Rhino,One Point,0.817073,false
Rhino,Linked,0.817073,false
Rhino,Two Point,0.374291,false
Rhino,One Point,0.374764,false
Rhino,Linked,0.370983,false
Rhino,Two Point,0.618875,false
Rhino,One Point,0.017695,true
Rhino,Linked,0.532668,true
Rhino,Two Point,0.803390,true
Rhino,One Point,0.845424,false
Rhino,Linked,0.260339,true
Rhino,Two Point,0.136485,true
Rhino,One Point,0.003995,true
Rhino,Linked,0.914780,true
Rhino,Two Point,0.215301,true
Rhino,One Point,0.022343,true
Rhino,Linked,0.261341,true
Rhino,Two Point,0.886486,true
Rhino,One Point,0.887259,true
Rhino,Linked,0.909653,true
Rhino,Two Point,0.799043,true
Rhino,One Point,0.790670,true
Rhino,Linked,0.807416,false
Rhino,Two Point,0.843750,true
Rhino,One Point,0.056985,true
Rhino,Linked,0.843750,true
Rhino,Two Point,0.016274,true
Rhino,One Point,0.973064,false
Rhino,Linked,0.933221,true
Rhino,Two Point,0.036807,false
Rhino,One Point,0.036807,false
Rhino,Linked,0.036807,false
Rhino,Two Point,0.246935,true
Rhino,One Point,0.271016,true
Rhino,Linked,0.875657,false
Rhino,Two Point,0.039977,true
Rhino,One Point,0.039397,false
Rhino,Linked,0.757822,true
Rhino,Two Point,0.743577,true
Rhino,One Point,0.691675,false
Rhino,Linked,0.692703,true
Rhino,Two Point,0.599384,true
Rhino,One Point,0.631228,true
Rhino,Linked,0.042630,true
Rhino,Two Point,0.097041,false
Rhino,One Point,0.938462,false
Rhino,Linked,0.938462,false
Rhino,Two Point,0.233311,true
Rhino,One Point,0.024949,true
Rhino,Linked,0.273769,true
Rhino,Two Point,0.711790,true
Rhino,One Point,0.775109,false
Rhino,Linked,0.691048,true
Rhino,Two Point,0.291351,true
Rhino,One Point,0.256216,true
Rhino,Linked,0.291892,true
Rhino,Two Point,0.764140,true
Rhino,One Point,0.188914,true
Rhino,Linked,0.914027,false
Rhino,Two Point,0.771567,false
Rhino,One Point,0.177364,true
Rhino,Linked,0.869565,true
Rhino,Two Point,0.335017,true
Rhino,One Point,0.284512,true
Rhino,Linked,0.035774,true
Rhino,Two Point,0.190980,true
Rhino,One Point,0.131783,false
Rhino,Linked,0.262861,true
Rhino,Two Point,0.110834,false
Rhino,One Point,0.110834,false
Rhino,Linked,0.110834,false
Rhino,Two Point,0.742225,true
Rhino,One Point,0.199032,true
Rhino,Linked,0.252246,false
Rhino,Two Point,0.143909,false
Rhino,One Point,0.946176,true
Rhino,Linked,0.707082,false
Rhino,Two Point,0.195146,true
Rhino,One Point,0.755340,true
Rhino,Linked,0.753398,true
Rhino,Two Point,0.547771,true
Rhino,One Point,0.532484,true
Rhino,Linked,0.582166,true
Rhino,Two Point,0.288758,true
Rhino,One Point,0.245240,true
Rhino,Linked,0.933364,false
Rhino,Two Point,0.309307,false
Rhino,One Point,0.906478,false
Rhino,Linked,0.994982,false
Rhino,Two Point,0.487254,true
Rhino,One Point,0.210196,true
Rhino,Linked,0.333055,true
Rhino,Two Point,0.890504,false
Rhino,One Point,0.305717,true
Rhino,Linked,0.296027,true
Rhino,Two Point,0.030328,false
Rhino,One Point,0.325920,true
Rhino,Linked,0.405985,false
Rhino,Two Point,0.135865,true
Rhino,One Point,0.074262,false
Rhino,Linked,0.140928,false
Rhino,Two Point,0.408772,false
Rhino,One Point,0.454386,false
Rhino,Linked,0.580702,true
Rhino,Two Point,0.063584,false
Rhino,One Point,0.696532,false
Rhino,Linked,0.706647,false
Rhino,Two Point,0.105325,true
Rhino,One Point,0.761849,false
Rhino,Linked,0.762434,false
Rhino,Two Point,0.079336,true
Rhino,One Point,0.081181,true
Rhino,Linked,0.872694,true
Rhino,Two Point,0.632896,true
Rhino,One Point,0.660310,true
